,,Liquid,,,,Vapor,,,,,,,,,,,,,,,,,,,
Temp. (C),Press.   (bar),"Volume      (vf, m3/kg)","Internal Energy (uf, kJ/kg)","Enthalpy    (hf, kJ/kg)","Entropy     (sf, kJ/kg/K)","Volume   (vg, m3/kg)","Internal Energy (ug, kJ/kg)","Enthalpy (hg, kJ/kg)","Entropy     (sg, kJ/kg/K)",,,,,,,,,,,,,,,,
0.01,0.0061165,0.0010002,0.0000,0.00061178,0.000000,205.99,2374.9,2500.9,9.1555,,,,,,,,,,,,,,,,
4,0.0081355,0.0010001,16.812,16.813,0.061103,157.12,2380.4,2508.2,9.0505,,,,,,,,,,,,,,,,
5,0.0087258,0.0010001,21.019,21.020,0.076254,147.01,2381.8,2510.1,9.0248,,,,,,,,,,,,,,,,
6,0.0093536,0.0010001,25.223,25.224,0.091342,137.63,2383.2,2511.9,8.9993,,,,,,,,,,,,,,,,
8,0.010730,0.0010002,33.626,33.627,0.121330,120.83,2385.9,2515.6,8.9491,,,,,,,,,,,,,,,,
10,0.012282,0.0010003,42.020,42.021,0.151090,106.30,2388.6,2519.2,8.8998,,,,,,,,,,,,,,,,
11,0.013130,0.0010004,46.215,46.216,0.165870,99.787,2390.0,2521.0,8.8754,,,,,,,,,,,,,,,,
12,0.014028,0.0010005,50.408,50.409,0.180610,93.719,2391.4,2522.9,8.8513,,,,,,,,,,,,,,,,
13,0.014981,0.0010007,54.600,54.601,0.195280,88.064,2392.8,2524.7,8.8274,,,,,,,,,,,,,,,,
14,0.015990,0.0010008,58.790,58.792,0.209900,82.793,2394.1,2526.5,8.8037,,,,,,,,,,,,,,,,
15,0.017058,0.0010009,62.980,62.981,0.224460,77.875,2395.5,2528.3,8.7803,,,,,,,,,,,,,,,,
16,0.018188,0.0010011,67.168,67.170,0.238970,73.286,2396.9,2530.2,8.7570,,,,,,,,,,,,,,,,
17,0.019384,0.0010013,71.355,71.357,0.253430,69.001,2398.2,2532.0,8.7339,,,,,,,,,,,,,,,,
18,0.020647,0.0010014,75.542,75.544,0.267830,64.998,2399.6,2533.8,8.7111,,,,,,,,,,,,,,,,
19,0.021983,0.0010016,79.727,79.729,0.282180,61.256,2401.0,2535.6,8.6884,,,,,,,,,,,,,,,,
20,0.023393,0.0010018,83.912,83.914,0.296480,57.757,2402.3,2537.4,8.6660,,,,,,,,,,,,,,,,
21,0.024882,0.0010021,88.096,88.098,0.310730,54.483,2403.7,2539.3,8.6437,,,,,,,,,,,,,,,,
22,0.026453,0.0010023,92.279,92.282,0.324930,51.418,2405.0,2541.1,8.6217,,,,,,,,,,,,,,,,
23,0.028111,0.0010025,96.462,96.465,0.339080,48.548,2406.4,2542.9,8.5998,,,,,,,,,,,,,,,,
24,0.029858,0.0010028,100.64,100.65,0.353180,45.858,2407.8,2544.7,8.5781,,,,,,,,,,,,,,,,
25,0.031699,0.0010030,104.83,104.83,0.367220,43.337,2409.1,2546.5,8.5566,,,,,,,,,,,,,,,,
26,0.033639,0.0010033,109.01,109.01,0.381230,40.973,2410.5,2548.3,8.5353,,,,,,,,,,,,,,,,
27,0.035681,0.0010035,113.19,113.19,0.395180,38.754,2411.8,2550.1,8.5142,,,,,,,,,,,,,,,,
28,0.037831,0.0010038,117.37,117.37,0.409080,36.672,2413.2,2551.9,8.4933,,,,,,,,,,,,,,,,
29,0.040092,0.0010041,121.55,121.55,0.422940,34.716,2414.6,2553.7,8.4725,,,,,,,,,,,,,,,,
30,0.042470,0.0010044,125.73,125.73,0.436750,32.878,2415.9,2555.5,8.4520,,,,,,,,,,,,,,,,
31,0.044969,0.0010047,129.91,129.91,0.450520,31.151,2417.3,2557.3,8.4316,,,,,,,,,,,,,,,,
32,0.047596,0.0010050,134.09,134.09,0.464240,29.526,2418.6,2559.2,8.4113,,,,,,,,,,,,,,,,
33,0.050354,0.0010054,138.27,138.27,0.477920,27.998,2420.0,2561.0,8.3913,,,,,,,,,,,,,,,,
34,0.053251,0.0010057,142.45,142.45,0.491550,26.560,2421.3,2562.8,8.3714,,,,,,,,,,,,,,,,
35,0.056290,0.0010060,146.63,146.63,0.505130,25.205,2422.7,2564.5,8.3517,,,,,,,,,,,,,,,,
36,0.059479,0.0010064,150.81,150.81,0.518670,23.929,2424.0,2566.3,8.3321,,,,,,,,,,,,,,,,
37,0.062823,0.0010068,154.99,154.99,0.532170,22.727,2425.4,2568.1,8.3127,,,,,,,,,,,,,,,,
38,0.066328,0.0010071,159.17,159.17,0.545620,21.593,2426.7,2569.9,8.2935,,,,,,,,,,,,,,,,
39,0.070002,0.0010075,163.35,163.35,0.559030,20.524,2428.0,2571.7,8.2745,,,,,,,,,,,,,,,,
40,0.073849,0.0010079,167.53,167.53,0.572400,19.515,2429.4,2573.5,8.2555,,,,,,,,,,,,,,,,
41,0.077878,0.0010083,171.71,171.71,0.585730,18.563,2430.7,2575.3,8.2368,,,,,,,,,,,,,,,,
42,0.082096,0.0010087,175.88,175.89,0.599010,17.664,2432.1,2577.1,8.2182,,,,,,,,,,,,,,,,
43,0.086508,0.0010091,180.06,180.07,0.612250,16.814,2433.4,2578.9,8.1998,,,,,,,,,,,,,,,,
44,0.091124,0.0010095,184.24,184.25,0.625450,16.011,2434.7,2580.6,8.1815,,,,,,,,,,,,,,,,
45,0.09595,0.0010099,188.43,188.43,0.638610,15.252,2436.1,2582.4,8.1633,,,,,,,,,,,,,,,,
50,0.12352,0.0010121,209.33,209.34,0.703810,12.027,2442.7,2591.3,8.0748,,,,,,,,,,,,,,,,
55,0.15762,0.0010146,230.24,230.26,0.76802,9.5643,2449.3,2600.1,7.9898,,,,,,,,,,,,,,,,
60,0.19946,0.0010171,251.16,251.18,0.83129,7.6672,2455.9,2608.8,7.9081,,,,,,,,,,,,,,,,
65,0.25042,0.0010199,272.09,272.12,0.89365,6.1935,2462.4,2617.5,7.8296,,,,,,,,,,,,,,,,
70,0.31201,0.0010228,293.03,293.07,0.95513,5.0395,2468.9,2626.1,7.7540,,,,,,,,,,,,,,,,
75,0.38595,0.0010258,313.99,314.03,1.0158,4.1289,2475.2,2634.6,7.6812,,,,,,,,,,,,,,,,
80,0.47414,0.0010291,334.96,335.01,1.0756,3.4052,2481.6,2643.0,7.6111,,,,,,,,,,,,,,,,
85,0.57867,0.0010324,355.95,356.01,1.1346,2.8258,2487.8,2651.3,7.5434,,,,,,,,,,,,,,,,
90,0.70182,0.0010360,376.97,377.04,1.1929,2.3591,2494.0,2659.5,7.4781,,,,,,,,,,,,,,,,
95,0.84608,0.0010396,398.00,398.09,1.2504,1.9806,2500.0,2667.6,7.4151,,,,,,,,,,,,,,,,
100,1.0142,0.0010435,419.06,419.17,1.3072,1.6718,2506.0,2675.6,7.3541,,,,,,,,,,,,,,,,
110,1.4338,0.0010516,461.26,461.42,1.4188,1.2093,2517.7,2691.1,7.2381,,,,,,,,,,,,,,,,
120,1.9867,0.0010603,503.60,503.81,1.5279,0.89121,2528.9,2705.9,7.1291,,,,,,,,,,,,,,,,
130,2.7028,0.0010697,546.09,546.38,1.6346,0.66800,2539.5,2720.1,7.0264,,,,,,,,,,,,,,,,
140,3.6154,0.0010798,588.77,589.16,1.7392,0.50845,2549.6,2733.4,6.9293,,,,,,,,,,,,,,,,
150,4.7616,0.0010905,631.66,632.18,1.8418,0.39245,2559.1,2745.9,6.8371,,,,,,,,,,,,,,,,
160,6.1823,0.0011020,674.79,675.47,1.9426,0.30678,2567.8,2757.4,6.7491,,,,,,,,,,,,,,,,
170,7.9219,0.0011143,718.20,719.08,2.0417,0.24259,2575.7,2767.9,6.6650,,,,,,,,,,,,,,,,
180,10.028,0.0011274,761.92,763.05,2.1392,0.19384,2582.8,2777.2,6.5840,,,,,,,,,,,,,,,,
190,12.552,0.0011415,806.00,807.43,2.2355,0.15636,2589.0,2785.3,6.5059,,,,,,,,,,,,,,,,
200,15.549,0.0011565,850.47,852.27,2.3305,0.12721,2594.2,2792.0,6.4302,,,,,,,,,,,,,,,,
210,19.077,0.0011727,895.39,897.63,2.4245,0.10429,2598.3,2797.3,6.3563,,,,,,,,,,,,,,,,
220,23.196,0.0011902,940.82,943.58,2.5177,0.086092,2601.2,2800.9,6.2840,,,,,,,,,,,,,,,,
230,27.971,0.0012090,986.81,990.19,2.6101,0.071503,2602.9,2802.9,6.2128,,,,,,,,,,,,,,,,
240,33.469,0.0012295,1033.4,1037.6,2.7020,0.059705,2603.1,2803.0,6.1423,,,,,,,,,,,,,,,,
250,39.762,0.0012517,1080.8,1085.8,2.7935,0.050083,2601.8,2800.9,6.0721,,,,,,,,,,,,,,,,
260,46.923,0.0012761,1129.0,1135.0,2.8849,0.042173,2598.7,2796.6,6.0016,,,,,,,,,,,,,,,,
270,55.030,0.0013030,1178.1,1185.3,2.9765,0.035621,2593.7,2789.7,5.9304,,,,,,,,,,,,,,,,
280,64.166,0.0013328,1228.3,1236.9,3.0685,0.030153,2586.4,2779.9,5.8579,,,,,,,,,,,,,,,,
290,74.418,0.0013663,1279.9,1290.0,3.1612,0.025555,2576.5,2766.7,5.7834,,,,,,,,,,,,,,,,
300,85.879,0.0014042,1332.9,1345.0,3.2552,0.021660,2563.6,2749.6,5.7059,,,,,,,,,,,,,,,,
320,112.84,0.0014990,1445.3,1462.2,3.4494,0.015471,2526.0,2700.6,5.5372,,,,,,,,,,,,,,,,
340,146.01,0.0016376,1570.6,1594.5,3.6601,0.010781,2464.4,2621.8,5.3356,,,,,,,,,,,,,,,,
360,186.66,0.0018954,1726.3,1761.7,3.9167,0.0069493,2351.8,2481.5,5.0536,,,,,,,,,,,,,,,,
373.14,218.51,0.0025359,1920.5,1975.9,4.2404,0.0039827,2134.4,2221.4,4.6202,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
